,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
63,2023-09-12,246.14863061616936,230.73680384434775,271.8311639132889,246.14863061616936,246.14863061616936,4.5484309229396604,4.5484309229396604,4.5484309229396604,4.5484309229396604,4.5484309229396604,4.5484309229396604,0.0,0.0,0.0,250.69706153910903
64,2023-09-13,245.9487927430525,231.8267262122709,270.1294489596315,245.9487927430525,245.9487927430525,3.9585678494616903,3.9585678494616903,3.9585678494616903,3.9585678494616903,3.9585678494616903,3.9585678494616903,0.0,0.0,0.0,249.9073605925142
65,2023-09-14,245.74895487344295,230.15346562294783,268.15494490867223,245.74895487344295,245.74895487344295,2.515945464971288,2.515945464971288,2.515945464971288,2.515945464971288,2.515945464971288,2.515945464971288,0.0,0.0,0.0,248.26490033841424
66,2023-09-15,245.54911700383337,227.27649129036737,268.3167032787576,245.54911700383337,245.54911700383337,1.8219639987857938,1.8219639987857938,1.8219639987857938,1.8219639987857938,1.8219639987857938,1.8219639987857938,0.0,0.0,0.0,247.37108100261918
67,2023-09-18,244.94960339500466,226.94779470850884,266.85094427551047,244.94960339500466,244.94960339500466,2.0757052377955385,2.0757052377955385,2.0757052377955385,2.0757052377955385,2.0757052377955385,2.0757052377955385,0.0,0.0,0.0,247.0253086328002
68,2023-09-19,244.74976552539508,229.31440132832887,268.3601863335372,244.74976552539508,244.74976552539508,4.548430922933578,4.548430922933578,4.548430922933578,4.548430922933578,4.548430922933578,4.548430922933578,0.0,0.0,0.0,249.29819644832867
69,2023-09-20,244.54992765578552,230.26167823714655,269.90280241755494,244.54992765578552,244.54992765578552,3.958567849459541,3.958567849459541,3.958567849459541,3.958567849459541,3.958567849459541,3.958567849459541,0.0,0.0,0.0,248.50849550524507
70,2023-09-21,244.35008978617594,227.25390706510652,268.4426099227456,244.35008978617594,244.35008978617594,2.5159454649723716,2.5159454649723716,2.5159454649723716,2.5159454649723716,2.5159454649723716,2.5159454649723716,0.0,0.0,0.0,246.8660352511483
71,2023-09-22,244.1502519165664,226.89948072877968,266.148656203062,244.1502519165664,244.1502519165664,1.8219639988066059,1.8219639988066059,1.8219639988066059,1.8219639988066059,1.8219639988066059,1.8219639988066059,0.0,0.0,0.0,245.972215915373
72,2023-09-25,243.5507383077377,226.24936656607454,264.15592313385923,243.5507383077377,243.5507383077377,2.0757052377969307,2.0757052377969307,2.0757052377969307,2.0757052377969307,2.0757052377969307,2.0757052377969307,0.0,0.0,0.0,245.62644354553464
73,2023-09-26,243.3509004476155,229.00621578144987,266.70122118755506,243.3509004476155,243.3509004476155,4.54843092293609,4.54843092293609,4.54843092293609,4.54843092293609,4.54843092293609,4.54843092293609,0.0,0.0,0.0,247.89933137055158
